section_month,section_year,ap_type,number,date,status,source,payee,description,amount,voided
3,2024,check,89081,03/05/2024,Open,Accounts Payable,LIVERMORE FORD LINCOLN ALFA ROMEA,MASERATI 2016 FORD F550 REPAIR,6101.86,N
3,2024,check,89082,03/07/2024,Open,Accounts Payable,"4LEAF, INC.",JANUARY24 SERVICES,6200.00,N
3,2024,check,89083,03/07/2024,Open,Accounts Payable,ALAMEDA COUNTY FIRE DEPARTMENT,FD 28 REPAIRS,5585.20,N
3,2024,check,89084,03/07/2024,Open,Accounts Payable,"Amazon Capital Services, Inc.",FD SUPPLIES,198.35,N
3,2024,check,89085,03/07/2024,Open,Accounts Payable,APWA,APWA MEMBERSHIP RENEWAL 1/1 - 12/31/24,2111.30,N
3,2024,check,89086,03/07/2024,Open,Accounts Payable,ASBURY ENVIRONMENTAL SERVICES,USED MOTOR OIL RECYCLING: 2/21/24,100.00,N
3,2024,check,89087,03/07/2024,Open,Accounts Payable,AVILA PROJECT MANAGEMENT,RICHMOND STREET IMPROVEMENT PROJECTS,21216.00,N
3,2024,check,89088,03/07/2024,Open,Accounts Payable,BEST EQUIPMENT,FIRE EXTINGUISHER SVC CUSTODIAL YARD,323.75,N
3,2024,check,89089,03/07/2024,Open,Accounts Payable,BKF ENGINEERS,2023 STORM DRAIN PROJECT,2960.00,N
3,2024,check,89090,03/07/2024,Open,Accounts Payable,"CHILDCARE CAREERS, LLC",FAIRMONT CHILDCARE AIDE,5472.80,N
3,2024,check,89091,03/07/2024,Open,Accounts Payable,CINTAS CORPORATION #054 UNIFORMS MAINTENANCE,"SAFTEY SUPPLIES, NITRILE GLOVES 1 CASE (10 boxes)",246.12,N
3,2024,check,89092,03/07/2024,Open,Accounts Payable,CONTRA COSTA CARE GROUP INC,CAER (Agency) MEMBERSHIP 2024 DUES,550.00,N
3,2024,check,89093,03/07/2024,Open,Accounts Payable,CONTRA COSTA HEALTH SERVICES,TIPPING WALL INSPECTION REPORT 1/17/24,199.00,N
3,2024,check,89094,03/07/2024,Open,Accounts Payable,Contra Costa Transportation Au,FY23-24 SMART AND SAFE SIGNALS,100792.00,N
3,2024,check,89095,03/07/2024,Open,Accounts Payable,"DATA TICKET, INC.",BUILDING AND SAFETY,400.00,N
3,2024,check,89096,03/07/2024,Open,Accounts Payable,DICKINSON FLEET SVCS / COX AUTOMOTIVE,C3: PM ANNUAL BRAKE INSPECTION & REGENTS,471.00,N
3,2024,check,89097,03/07/2024,Open,Accounts Payable,DICKINSON FLEET SVCS / COX AUTOMOTIVE,R4: PM ANNUAL BRAKE INSPECTION & FLUIDS,1413.00,N
3,2024,check,89098,03/07/2024,Open,Accounts Payable,EBMUD,EBMUD 12/12/23-2/10/24,1552.38,N
3,2024,check,89099,03/07/2024,Open,Accounts Payable,"EKI ENVIRONMENT & WATER, INC.",STORMWATER COMPLIANCE SUPPORT,1428.18,N
3,2024,check,89100,03/07/2024,Open,Accounts Payable,Green Halo Systems Inc,MONTHLY HOSTING & MAINTENANCE,171.00,N
3,2024,check,89101,03/07/2024,Open,Accounts Payable,GYMDOC INC,PREVENTIVE MAINTENANCE FEB24,330.00,N
3,2024,check,89102,03/07/2024,Open,Accounts Payable,INTERWEST CONSULTING GROUP INC,STAFFING ASSITANCE - PROJECT PLANNER,3300.00,N
3,2024,check,89103,03/07/2024,Open,Accounts Payable,KEL-AIRE,STA 52 BUILDING MAINTENANCE,785.99,N
3,2024,check,89104,03/07/2024,Open,Accounts Payable,KITTELSON & ASSOCIATES INC,LRSP,4399.73,N
3,2024,check,89105,03/07/2024,Open,Accounts Payable,"KNORR SYSTEMS, INC.",SODIUM HYPO,1201.45,N
3,2024,check,89106,03/07/2024,Open,Accounts Payable,LEAF,SOPHOS LICENSING LEASE PYMT,1430.47,N
3,2024,check,89107,03/07/2024,Open,Accounts Payable,"LOCKED IN FIRE AND ENGINEERING, INC.",6000 EC PLAZA REVIEW,600.00,N
3,2024,check,89108,03/07/2024,Open,Accounts Payable,MACK5,EC LIBARY CONSTRUCTION AND COST ASST,488.00,N
3,2024,check,89109,03/07/2024,Open,Accounts Payable,"MCAVOY, IAN",PRESIDENTS WK LEGO CAMPS 2024,3780.00,N
3,2024,check,89110,03/07/2024,Open,Accounts Payable,"MELTON, TAYLOR",PYMNT FOR RECREATION DEPT CRAB FEED CHANGE,600.00,N
3,2024,check,89111,03/07/2024,Open,Accounts Payable,MORTON'S URBAN PEST MANAGEMENT,FAIRMONT CLUBHOUSE PEST CONTROL SVC JAN 2024,810.00,N
3,2024,check,89112,03/07/2024,Open,Accounts Payable,PAYMENTUS CORPORATION,CREDIT CARD PROCESSING FEES,3914.66,N
3,2024,check,89113,03/07/2024,Open,Accounts Payable,PLACEWORKS,SAFETY ELEMENT,11759.33,N
3,2024,check,89114,03/07/2024,Open,Accounts Payable,PLANETMAGPIE,RESOLVE USER ACCOUNTS WITH NO PROPER EMAIL ADDRESS,1006.25,N
3,2024,check,89115,03/07/2024,Open,Accounts Payable,PLAZA AUTO SERVICE INC,VEHICLE EQUIPMENT & MAINTENANCE,52.05,N
3,2024,check,89116,03/07/2024,Open,Accounts Payable,PREMIER GRAPHICS,BUSINESS CARDS FOR CARLOS HERNANDEZ,71.66,N
3,2024,check,89117,03/07/2024,Open,Accounts Payable,SINGLE CYLINDER REPAIR INC MAINTENANCE,"SMALL EQUIPMENT, 55E CHAIN LOOP & HEX NUT",32.44,N
3,2024,check,89118,03/07/2024,Open,Accounts Payable,SSD ALARM,"FEB INVOICE OVERCREDIT ERROR, FOR INVOICE R-00497176",294.02,N
3,2024,check,89119,03/07/2024,Open,Accounts Payable,SSP DATA PRODUCTS,CONVERGED INFRASTURCTURE NETWORK DESIGN FOR SAFETY,300.00,N
3,2024,check,89120,03/07/2024,Open,Accounts Payable,STAPLES,OFFICE SUPPLIES,96.73,N
3,2024,check,89121,03/07/2024,Open,Accounts Payable,"STERICYCLE, INC.",HAZARDOUS MATERIAL,182.33,N
3,2024,check,89122,03/07/2024,Open,Accounts Payable,SWEETSER & ASSOCIATES INC.,ANNUAL CERS HAZMAT TRAINING,900.00,N
