section_month,section_year,ap_type,number,date,status,source,payee,description,amount,voided
2,2024,check,88768,02/01/2024,Open,Accounts Payable,2-ELEVEN SHIELDS,FD SHIELDS,978.20,N
2,2024,check,88769,02/01/2024,Open,Accounts Payable,"Amazon Capital Services, Inc.",ERGO SUPPLIES - WRIST PADS,195.08,N
2,2024,check,88770,02/01/2024,Open,Accounts Payable,"ART P.E., JAMES E.",11600 SPA REVIEW,320.00,N
2,2024,check,88771,02/01/2024,Open,Accounts Payable,"CHARGEPOINT, INC",RERC EV CHARGING STATION SVC 12/6/23 - 12/6/24,690.00,N
2,2024,check,88772,02/01/2024,Open,Accounts Payable,"CHILDCARE CAREERS, LLC",FAIRMONT CHILDCARE AIDE,3798.16,N
2,2024,check,88773,02/01/2024,Open,Accounts Payable,CINTAS CORPORATION #054 UNIFORMS,CORP YARD WEEKLY UNIFORM RENTAL,212.16,N
2,2024,check,88774,02/01/2024,Open,Accounts Payable,COMCAST,STATION 52,291.50,N
2,2024,check,88775,02/01/2024,Open,Accounts Payable,"Community Conservation Centers, Inc.",MIXED PAPER + HDPE PLASTIC RECYCLING NOV 2023,1333.14,N
2,2024,check,88776,02/01/2024,Open,Accounts Payable,CONTRA COSTA HEALTH SERVICES,ANNUAL PHARMS HEALTH PERMIT FOR 2024/2025,1054.00,N
2,2024,check,88777,02/01/2024,Open,Accounts Payable,COPY CENTRAL,PRINTING,232.98,N
2,2024,check,88778,02/01/2024,Open,Accounts Payable,"Cross Connections Emergency Services, Inc.",COMMUNICATIONS EQUIP,286.19,N
2,2024,check,88779,02/01/2024,Open,Accounts Payable,CSW-STUBER-STROEH ENGINEERING GROUP INC,DEL NORTE TOD DESIGN SERVICES,8177.10,N
2,2024,check,88780,02/01/2024,Open,Accounts Payable,"CUISON, MARIELLE",MILEAGE,121.57,N
2,2024,check,88781,02/01/2024,Open,Accounts Payable,"DATA TICKET, INC.",BUILDING AND SAFETY,400.00,N
2,2024,check,88782,02/01/2024,Open,Accounts Payable,DIABLO TROPHIES & AWARDS,CITY COUNCIL SUPPLIES,120.44,N
2,2024,check,88783,02/01/2024,Open,Accounts Payable,DUNNIGAN PSYCHOLOGICAL & THREAT ASSESSMENTS,VERNARECCI PSYCH EVAL,600.00,N
2,2024,check,88784,02/01/2024,Open,Accounts Payable,EAST BAY SANITARY CO.INC.,STREET SWEEPING DEC 2023,8587.25,N
2,2024,check,88785,02/01/2024,Open,Accounts Payable,EL CERRITO PRESCHOOL CENTER,FULL PYMT ARTS & CULTRY COMMIS MINI GRANT - MESSY ART,1000.00,N
2,2024,check,88786,02/01/2024,Open,Accounts Payable,"Enthalpy Analytical, LLC",STORMWATER SAMPLE TESTING,631.00,N
2,2024,check,88787,02/01/2024,Open,Accounts Payable,FEHR & PEERS,RICHMOND COMPLETE STREETS PROJECT,6283.00,N
